transaction_id,transaction_date,amount,vendor_id,department_id,client_id,payment_method_id,risk_score
7,2024-01-10,250.75,1,1,NULL,2,NULL
8,2024-01-15,1200.00,2,2,NULL,2,92.00
9,2024-02-03,5400.50,3,1,NULL,2,67.00
10,2024-02-10,89.99,4,3,NULL,3,81.00
11,2024-02-18,320.00,5,4,NULL,3,43.00
12,2024-03-01,9800.00,2,6,NULL,3,100.00
88,2026-01-03,1500.00,1,1,NULL,NULL,NULL
89,2026-01-05,7200.50,3,2,NULL,NULL,NULL
90,2026-01-08,340.75,2,4,NULL,NULL,100.00
91,2026-01-12,12500.00,13,1,NULL,NULL,100.00
92,2026-01-15,890.00,4,3,NULL,NULL,100.00
93,2026-01-20,6400.00,15,5,NULL,NULL,100.00
94,2026-01-25,210.40,3,6,NULL,NULL,NULL
95,2026-02-02,9800.00,17,1,NULL,NULL,100.00
96,2026-02-05,430.60,5,6,NULL,NULL,100.00
97,2026-02-10,2600.00,6,5,NULL,NULL,100.00
98,2026-02-12,15750.00,18,2,NULL,NULL,100.00
99,2026-02-15,920.00,16,3,NULL,NULL,100.00
100,2026-02-18,18000.00,14,1,NULL,NULL,100.00
101,2026-02-21,550.00,1,6,NULL,NULL,100.00
102,2026-02-25,4300.00,19,4,2,2,100.00
103,2026-03-01,2500.00,2,2,2,2,NULL
104,2026-03-05,720.50,1,1,2,2,12.50
136,2026-03-06,15000.00,3,2,NULL,2,100.00
137,2026-03-07,480.75,4,3,NULL,3,9.10
138,2026-03-08,9200.00,17,5,NULL,1,100.00
139,2026-03-09,310.40,5,6,NULL,2,4.20
140,2026-03-10,1250.00,6,5,NULL,3,18.60
141,2026-03-11,6800.00,14,1,NULL,1,67.90
142,2026-03-12,540.20,2,2,NULL,2,7.80
143,2026-03-13,24000.00,18,2,NULL,1,100.00
144,2026-03-14,870.00,16,3,NULL,2,100.00
145,2026-04-09,5000.00,1,1,NULL,NULL,NULL
